seed,model,test_set,n,accuracy,macro_f1,ece,mce,brier,nll
7,banglabert,test_dialect_noakhali,3061,0.8895785690950669,0.8894534011346376,0.06503861531985228,0.33378565311431885,0.08655001982315838,0.29496364722433105
7,banglabert,test_dialect_barishal,3061,0.9124469127736033,0.9124448102651412,0.050699235174996006,0.3786859313646952,0.07079290795197864,0.2546790211347421
7,xlmr_base,test_standard,5029,0.9174786239809107,0.9174300304435554,0.04750525756713339,0.25099299329050473,0.06573461601030442,0.24228451843140575
7,xlmr_base,test_dialect_chittagong,3060,0.834640522875817,0.8345437611213529,0.10837213805468839,0.28743513517601543,0.1337765297450165,0.4844165023077155
7,xlmr_base,test_dialect_noakhali,3061,0.8882718065991506,0.8881729733887094,0.06850582564463219,0.4698421217146374,0.08964046698831561,0.3155882138230417
7,xlmr_base,test_dialect_barishal,3061,0.9085266252858543,0.9085195077549431,0.05501110873731843,0.3373071153958639,0.07360586299307519,0.27195955062400395
2024,banglabert,test_standard,5029,0.9216544044541658,0.9216105121400437,0.024580256613058463,0.20198872259684975,0.06107382877862211,0.21236633166597335
2024,banglabert,test_dialect_chittagong,3060,0.8303921568627451,0.830080739841131,0.06953564545480548,0.19660555488533443,0.13004979592637994,0.43872813997966664
2024,banglabert,test_dialect_noakhali,3061,0.896765762822607,0.896727395411606,0.04142527474952714,0.23035558432090186,0.0780706030587739,0.259871804339098
2024,banglabert,test_dialect_barishal,3061,0.9121202221496243,0.9121183838028075,0.03306674033072369,0.23358628650506336,0.06956689426672119,0.24034532178146198
2024,xlmr_base,test_standard,5029,0.9127063034400478,0.9126938759352987,0.043772114481170264,0.19519851567610258,0.068420287268316,0.24157258369085138
2024,xlmr_base,test_dialect_chittagong,3060,0.8303921568627451,0.8303912692951638,0.10119036296321676,0.29959599177042645,0.1334719367803357,0.46320790010223856
2024,xlmr_base,test_dialect_noakhali,3061,0.8784710878797779,0.8783728356471887,0.06602131926820623,0.3286342740058899,0.09258225079231094,0.3261585027430051
2024,xlmr_base,test_dialect_barishal,3061,0.8983992159425025,0.898362725230311,0.0549108429395979,0.2852462840080261,0.07974562156508387,0.28447242079458335
31,banglabert,test_standard,5029,0.9168820839133028,0.9167925129957644,0.04564762744033288,0.2903195858001709,0.06710094101322218,0.2457550771563135
